section_title,title,rating_and_volume,rating,volume_of_ratings,bio,url,shop_app_url
Food & drinks,Newfoundland Chocolate Company,4.9(68),4.9,68.0,"Welcome to the Newfoundland Chocolate Company: where the chocolate is artisan crafted; the gelato is made daily with local ingredients, and the coffee is roasted and brewed right here in Newfoundland.",https://newfoundlandchocolatecompany.com/,https://shop.app/m/83npqe2btu
Food & drinks,ECS Coffee,4.7(13.8K),4.7,13800.0,Your Espresso & Coffee Gear Store. Delivering coffee goodness to Canada & USA.,https://ecscoffee.com/,https://shop.app/m/df7bw06cnm
Food & drinks,Sam James Coffee Bar,4.9(129),4.9,129.0,TORONTO'S FAVOURITE,https://samjamescoffeebar.com/,https://shop.app/m/mbz6q7k9fc
Food & drinks,Grape Witches,5(3),5.0,3.0,"A natural wine shop specializing in organic, biodynamic and natural wines from around the world. Beautiful custom event space and retail shop with over 200 rotating wines in store, and a fully customized Wine Club. Educationa...Read more",https://grapewitches.com/,https://shop.app/m/my9hgun324
Food & drinks,Rousseau Chocolatier,4.9(9),4.9,9.0,"Rousseau Chocolatier uses only the finest quality chocolate and ingredients - locally sourced whenever possible right here in Halifax, Nova Scotia, Canada.",https://rousseauchocolatier.ca/,https://shop.app/m/janrhf59qw
Food & drinks,Rainbo,4.7(14),4.7,14.0,,https://rainbo.ca/,https://shop.app/m/m1f9e48jh7
Baby & toddler,Pehr,4.9(3.8K),4.9,3800.0,Pehr | Organic Baby & Kids Clothes | Nursery & Decor | US,https://pehr.com/,https://shop.app/m/uwq4n3egp5
Baby & toddler,The Montessori Room,4.8(138),4.8,138.0,Montessori Toys & Materials - Modern Kids Furniture - Montessori and Waldorf Inspired - Ethically Made in Canada,https://themontessoriroom.com/,https://shop.app/m/ka5y7hw09n
Baby & toddler,Kido Bebe,4.8(324),4.8,324.0,"Shop your baby's essentials at Kido Bebe, a Montreal baby store offering a variety of baby products, furniture, strollers, car seats, baby cribs & more.",https://kidobebe.com/,https://shop.app/m/nydp34hbc0
Baby & toddler,Upseat,4.9(84),4.9,84.0,Better Seat. Better Posture.,https://theupseat.com/,https://shop.app/m/jfk7duy1zb
Baby & toddler,Newbornlander,4.9(13),4.9,13.0,,https://newbornlander.ca/,https://shop.app/m/vjqxt4zhw0
Baby & toddler,Yoto Canada,4.8(400),4.8,400.0,"Yoto Player plays audiobook stories, music, activities, sound effects, radio and podcasts for children. A safe and secure way for children to explore amazing audio with kids in control. Welcome to Audiotime.",https://yoto-canada.myshopify.com/,https://shop.app/m/pbtqr7u68v
Baby & toddler,R,4.7(466),4.7,466.0,Rebelstork was born to make Parenting Lighter. We are the largest tech-driven marketplace for baby gear in North America - diverting overstock and retailer returned baby gear away from landfills and into the homes of customer...Read more,https://rebelstork.com/,https://shop.app/m/t0czh6q7nr
Baby & toddler,Lil Helper,4.9(2K),4.9,2000.0,"Infusing JOY, EMPATHY & DIGNITY into messy parts of life.",https://lilhelperusa.com/,https://shop.app/m/ep6h2fza49
Baby & toddler,Parade,4.9(312),4.9,312.0,Good Little Things. Designed with love in Vancouver.,https://parade.ca/,https://shop.app/m/djhw7kbxvu
